M18-24,Swim,Bike,Run
,,,
1,00:54:48,04:42:36,03:26:02
2,00:56:31,04:53:19,03:17:31
3,00:59:09,04:55:01,03:12:59
4,00:53:20,04:49:10,03:36:13
5,00:58:44,05:00:59,03:19:23
6,00:52:59,04:44:24,03:43:40
7,00:50:27,04:49:25,03:41:10
8,00:58:52,05:02:59,03:18:36
9,01:06:25,04:59:20,03:28:57
10,01:03:36,05:01:41,03:31:23
11,00:59:16,04:42:40,04:01:25
12,00:54:44,05:10:53,03:36:30
13,01:03:55,04:51:32,03:48:02
14,01:01:31,05:03:30,03:42:02
15,00:59:21,05:18:29,03:27:52
16,00:58:59,05:27:24,03:20:46
17,01:01:00,05:16:11,03:36:00
18,01:04:35,05:03:39,03:46:36
19,01:05:55,05:17:54,03:32:27
20,00:59:33,05:15:22,03:40:21
21,01:06:04,05:11:16,03:45:53
22,00:58:53,05:18:01,03:53:04
23,00:56:20,04:44:57,04:30:57
24,00:57:58,05:14:00,03:58:47
25,01:14:22,05:22:05,03:36:10
26,00:58:17,05:39:50,03:32:52
27,01:12:02,05:16:55,03:51:59
28,00:53:03,05:33:59,04:01:56
29,00:59:19,05:03:39,04:33:18
30,01:08:27,05:56:24,03:29:47
31,01:02:39,05:07:36,04:34:35
32,01:20:40,06:00:33,03:31:58
33,01:09:32,05:25:52,04:25:55
34,00:52:37,06:18:40,03:58:41
35,01:09:26,05:27:40,04:34:16
36,01:19:05,06:12:18,04:02:02
37,01:02:55,05:40:43,05:20:52
38,01:02:42,05:47:09,06:33:48
39,01:39:01,07:33:45,05:58:17
40,02:09:20,07:04:12,06:25:34
41,01:25:43,07:14:28,07:04:35
